adopt-imaging-parallel;adopt-imaging-single;adopt-pure;amazoncorretto-imaging-parallel;amazoncorretto-imaging-single;amazoncorretto-pure;graaljdk-imaging-parallel;graaljdk-imaging-single;graaljdk-pure;openjdk-imaging-parallel;openjdk-imaging-single;openjdk-opencv;openjdk-openimaj;openjdk-pure;zulu-imaging-parallel;zulu-imaging-single;zulu-pure;python-pure-simple;python-with-itertools;python-pure-simple-with-numba;python-pure-simple-with-numba-parallel;python-itertools-with-numba;python-with-numpy;python-with-numpy-with-numba;python-with-numpy-with-numba-parallel;python-with-numpy-and-scipy;python-with-opencv
113;266;235;115;261;230;114;227;164;113;268;0.381;30;236;123;275;246;;;236;101;3340;;83;4.28;34;4.66
127;267;235;115;262;230;115;227;163;113;266;0.3917;34;236;122;275;246;;;236;98;3346;;83;4.12;34;4.58
127;267;237;103;261;232;115;226;162;126;267;0.3807;31;237;135;274;246;;;236;210;3355;;83;90.82;34;4.64
114;267;236;116;259;230;114;228;163;127;267;0.3928;30;234;136;275;248;;;237;195;3344;;83;3.70;34;4.61
127;266;235;116;260;230;114;227;163;112;266;0.381;31;236;122;275;249;;;236;195;3356;;83;3.33;34;4.68
126;265;235;116;259;231;114;227;162;126;265;0.3982;30;237;136;274;247;;;236;109;3345;;83;3.34;34;4.56
130;266;236;115;259;231;103;226;165;126;265;0.3812;30;235;121;275;248;;;236;196;3347;;83;91.47;34;4.64
113;266;237;102;259;231;114;226;176;126;266;0.3931;31;237;135;274;251;;;236;197;3350;;83;4.15;34;4.56
126;267;236;102;261;230;113;225;163;112;265;0.3805;35;235;121;274;247;;;236;98;3353;;83;4.11;34;4.64
112;266;235;102;259;231;104;225;164;112;266;0.3809;31;236;134;274;248;;;236;200;3357;;83;91.41;34;4.58
129;267;236;115;259;231;114;227;163;126;266;0.3936;29;235;121;274;248;;;237;106;3345;;83;3.39;34;4.62
127;267;240;116;260;253;114;225;162;126;266;0.3814;30;236;123;274;249;;;236;195;3397;;83;3.36;34;4.59
127;269;235;115;263;231;115;225;163;126;266;0.3927;31;235;134;274;248;;;237;108;3387;;83;90.63;34;4.80
112;266;235;116;261;231;103;225;162;112;265;0.3911;30;237;121;274;249;;;236;199;3373;;83;4.66;34;4.64
113;266;235;117;259;231;103;226;163;132;267;0.3929;31;235;136;276;248;;;236;100;3374;;83;4.14;34;4.57
127;270;237;102;287;233;103;226;164;126;266;0.3808;34;236;137;275;250;;;236;195;3359;;83;91.37;34;4.72
113;267;236;102;263;232;115;225;162;135;266;0.3847;31;235;136;274;247;;;237;197;3364;;83;5.25;34;4.59
126;266;234;103;265;232;102;226;162;127;265;0.3933;30;236;122;303;248;;;236;110;3360;;83;4.09;34;4.68
127;266;234;116;262;232;114;226;162;116;267;0.3804;30;235;122;279;248;;;237;191;3368;;83;91.31;34;4.56
129;266;235;115;260;230;115;225;162;128;265;0.4023;31;238;136;276;251;;;237;109;3362;;83;4.18;34;4.68
126;265;234;101;262;233;105;226;162;112;267;0.3807;30;237;122;275;249;;;236;98;3370;;83;4.11;34;4.57
113;266;235;116;259;230;103;237;163;113;266;0.3988;30;236;121;277;248;;;236;198;3360;;83;91.47;34;4.61
127;266;235;116;258;229;124;226;163;112;268;0.3808;35;237;122;276;247;;;236;198;3365;;83;4.14;34;4.57
126;267;235;102;259;230;113;227;163;126;265;0.3812;31;236;122;276;250;;;236;197;3365;;83;4.08;34;4.66
112;267;234;116;260;231;103;226;163;113;267;0.3923;30;235;136;276;249;;;236;98;3368;;83;91.38;34;4.64
113;269;235;116;259;232;113;230;163;113;267;0.381;30;236;136;277;248;;;237;202;3367;;83;3.91;34;4.56
128;267;234;102;259;230;103;227;163;126;267;0.3937;30;236;135;276;248;;;236;98;3363;;83;3.89;34;4.70
128;267;234;101;262;230;119;227;162;127;267;0.3808;30;235;135;276;251;;;236;112;3364;;83;3.89;33;4.63
127;267;256;116;260;232;104;227;163;127;266;0.4041;31;236;122;277;248;;;236;185;3365;;83;99.51;34;4.67
113;267;235;106;259;232;103;228;162;126;267;0.3807;34;236;134;276;248;;;236;99;3376;;83;90.34;34;4.57
131;271;234;102;258;232;113;226;162;126;266;0.3935;30;240;135;275;248;;;236;210;3345;;83;3.99;34;4.66
127;274;235;116;263;232;103;225;162;112;269;0.3809;31;237;134;276;251;;;236;194;3354;;83;3.91;34;4.61
127;269;235;115;260;232;114;228;162;112;267;0.381;30;236;134;276;249;;;236;101;3339;;83;91.35;34;4.61
126;268;235;102;262;238;114;226;163;112;267;0.3936;31;236;134;275;248;;;236;200;3354;;83;4.12;34;4.61
113;269;234;115;260;235;113;229;164;112;266;0.3804;31;236;135;276;247;;;236;110;3350;;83;4.10;33;4.60
114;272;235;104;262;239;115;226;163;112;268;0.3988;30;236;135;275;250;;;236;99;3348;;83;91.22;33;4.68
127;268;236;102;260;234;105;226;163;126;265;0.3808;35;235;121;275;250;;;236;199;3345;;83;3.89;34;4.57
128;267;235;116;258;235;127;226;162;112;266;0.398;30;237;121;276;249;;;236;191;3347;;83;3.92;34;4.61
127;270;234;114;259;234;103;226;162;112;265;0.3806;30;236;122;275;248;;;237;200;3352;;83;3.90;33;4.55
127;268;235;114;261;231;114;227;162;112;266;0.3802;30;235;134;277;275;;;237;100;3340;;83;90.85;33;4.70
114;269;236;115;259;232;113;226;164;126;292;0.393;31;236;135;277;250;;;238;202;3347;;83;3.90;33;4.56
113;268;237;102;258;238;114;227;163;126;269;0.38;31;235;134;275;249;;;237;201;3356;;83;3.35;33;4.67
126;271;236;116;258;234;113;226;163;112;265;0.4016;30;236;122;276;248;;;237;196;3349;;83;91.34;34;4.64
129;269;237;116;262;231;113;227;162;112;264;0.381;35;235;134;276;250;;;236;110;3352;;83;4.37;34;4.64
127;267;237;115;260;230;102;226;163;118;265;0.3954;30;258;136;275;249;;;236;96;3343;;83;4.11;33;4.58
127;265;239;115;258;230;126;226;162;112;265;0.3807;30;236;135;274;248;;;236;196;3350;;83;90.64;34;4.64
128;267;235;116;258;233;114;227;163;112;265;0.3913;31;235;122;275;246;;;236;198;3359;;83;4.09;34;4.68
127;265;233;101;261;232;105;228;163;112;264;0.394;30;236;139;276;250;;;236;112;3390;;83;4.13;33;4.59
127;265;235;115;260;229;106;227;177;126;266;0.3805;30;235;137;275;249;;;237;98;3408;;83;91.46;33;4.61
138;265;235;102;289;230;115;227;164;139;264;0.3928;31;236;139;274;249;;;237;198;3374;;83;4.05;33;4.56
126;265;234;102;261;231;113;229;163;126;264;0.381;35;236;135;299;248;;;237;192;3366;;83;4.20;33;4.71
128;270;234;116;262;231;113;227;164;126;263;0.3931;30;236;121;277;249;;;237;110;3364;;83;91.36;34;4.58
114;266;234;115;259;254;113;226;165;125;265;0.3804;31;237;136;276;248;;;236;100;3369;;84;3.90;34;4.63
141;268;234;117;261;232;113;226;166;126;264;0.3807;30;237;122;276;249;;;237;200;3363;;84;3.97;34;4.55
127;267;235;101;262;234;114;227;163;126;264;0.3879;31;235;122;278;248;;;237;190;3359;;83;3.89;33;4.68
113;266;234;116;261;232;114;226;163;113;264;0.3815;30;237;149;277;250;;;236;111;3361;;83;91.24;34;4.59
114;265;234;116;259;235;103;226;164;129;265;0.4038;31;236;135;276;250;;;236;100;3366;;83;4.17;33;4.59
143;267;236;102;259;235;114;226;163;112;264;0.381;34;237;150;277;246;;;236;189;3360;;83;4.09;33;4.57
127;265;236;102;261;231;102;226;165;125;264;0.3928;31;237;136;278;246;;;236;111;3356;;83;91.33;34;4.65
127;267;235;116;259;233;103;227;165;112;264;0.3802;30;236;122;277;248;;;236;200;3365;;83;3.96;33;4.62
113;264;236;115;259;234;127;226;166;111;265;0.3984;30;237;135;276;245;;;236;99;3372;;83;10.78;34;4.57
113;267;235;102;259;232;113;225;163;128;264;0.3808;31;235;134;277;246;;;236;197;3361;;83;85.84;33;4.74
127;268;238;105;261;234;114;225;164;126;264;0.3809;30;237;121;276;247;;;236;199;3368;;83;3.33;33;4.64
131;267;236;115;259;235;104;226;163;113;264;0.4049;31;236;135;277;247;;;236;195;3380;;83;3.30;34;4.61
141;265;239;104;258;234;104;227;165;126;265;0.381;34;237;134;276;249;;;236;109;3367;;83;90.83;34;4.57
126;266;237;115;259;232;105;224;166;127;263;0.4045;30;236;150;277;247;;;236;197;3367;;84;4.25;34;4.66
127;265;237;116;262;233;113;226;164;127;264;0.3916;31;236;135;277;247;;;236;197;3367;;84;4.17;34;4.61
128;265;236;115;258;236;114;226;162;127;265;0.3935;30;238;135;275;247;;;238;101;3375;;83;91.25;34;4.62
113;266;236;116;260;234;105;226;162;112;265;0.381;30;236;122;277;247;;;238;197;3362;;83;4.15;34;4.61
124;268;235;116;259;233;105;227;162;127;264;0.3808;31;236;135;277;249;;;238;195;3377;;83;4.16;33;4.68
115;265;236;115;261;230;115;226;163;113;265;0.3933;30;236;135;277;247;;;238;106;3365;;83;91.48;33;4.65
140;266;236;115;259;230;114;236;163;126;265;0.3806;35;237;122;277;248;;;238;197;3351;;84;4.08;33;4.58
115;266;236;103;260;231;114;227;164;127;264;0.3931;30;236;136;276;250;;;237;104;3348;;83;4.15;34;4.62
127;268;236;129;260;231;114;226;162;126;265;0.3809;30;236;134;278;249;;;238;198;3352;;84;91.24;34;4.65
128;265;251;116;262;230;122;226;162;114;263;0.3937;30;236;135;277;247;;;237;199;3350;;83;3.31;35;4.64
114;265;237;102;260;231;115;226;163;126;266;0.3807;31;237;124;275;247;;;238;110;3344;;83;3.35;33;4.59
127;268;235;102;259;231;103;226;163;113;264;0.3813;30;236;135;275;251;;;237;190;3346;;83;3.39;33;4.58
113;266;236;102;261;232;105;225;163;126;264;0.4025;31;238;122;277;248;;;238;109;3338;;83;91.02;34;4.67
127;266;235;116;262;229;105;224;163;126;264;0.3805;35;236;135;275;247;;;237;198;3355;;83;4.17;33;4.60
113;265;237;104;260;231;117;225;163;113;265;0.3927;30;237;121;275;247;;;238;196;3349;;83;4.13;33;4.59
127;268;236;115;259;232;114;225;162;145;264;0.3807;30;237;136;283;249;;;238;196;3341;;83;91.46;34;4.56
127;266;236;116;261;232;103;226;163;112;290;0.3938;31;236;135;276;248;;;238;109;3342;;83;4.12;34;4.70
127;266;236;116;261;233;105;224;163;126;267;0.3809;30;238;135;275;248;;;237;100;3348;;83;4.13;33;4.58
127;265;236;102;286;231;106;225;164;127;270;0.3804;30;237;124;299;247;;;238;197;3343;;83;91.24;33;4.61
128;268;237;102;262;232;114;226;163;126;267;0.393;30;236;121;280;275;;;237;198;3341;;83;3.88;33;4.56
115;265;234;101;260;232;114;225;164;125;266;0.3806;34;238;136;277;248;;;238;197;3350;;83;3.97;34;4.66
115;266;234;117;259;231;105;226;163;119;267;0.3937;31;236;135;277;249;;;238;101;3350;;83;3.35;33;4.61
114;268;235;117;259;230;114;225;163;112;267;0.3915;30;237;122;279;246;;;237;201;3349;;83;91.41;34;4.65
132;266;238;101;259;230;114;227;162;113;265;0.3816;31;236;136;277;248;;;237;198;3347;;83;4.11;34;4.58
126;266;235;103;259;231;103;224;176;112;266;0.39;30;236;135;278;247;;;238;108;3346;;84;4.11;34;4.65
127;265;235;119;258;230;114;228;163;133;267;0.3817;30;236;135;278;247;;;238;100;3341;;85;90.49;33;4.58
127;267;235;115;259;230;104;225;165;112;266;0.4078;30;259;135;277;247;;;237;201;3357;;84;4.11;34;4.56
128;266;234;101;258;230;115;224;162;112;265;0.3806;35;236;134;277;250;;;238;188;3345;;84;4.13;33;4.67
127;266;236;101;261;251;114;226;163;126;266;0.3933;30;237;134;277;248;;;238;111;3344;;83;91.45;33;4.58
113;266;235;115;260;230;103;225;161;126;266;0.405;30;236;134;278;247;;;238;97;3345;;83;3.94;34;4.63
113;266;235;115;259;230;104;224;164;112;265;0.3824;31;237;135;279;248;;;238;197;3345;;83;3.97;33;4.56
127;266;237;103;258;231;114;224;163;127;265;0.3785;30;237;135;277;248;;;238;198;3350;;83;91.12;33;4.65
112;266;235;114;261;230;115;225;163;126;264;0.3776;30;237;137;277;247;;;237;99;3347;;83;3.51;34;4.56
114;267;235;103;260;232;113;226;161;112;266;0.4019;31;235;135;278;248;;;237;113;3353;;83;3.34;33;4.61
140;267;235;102;258;230;104;226;163;127;265;0.3774;34;236;134;278;248;;;238;191;3349;;83;3.41;33;4.60
128;267;235;103;259;229;103;226;161;127;269;0.3898;31;236;135;277;249;;;238;198;3361;;83;91.04;34;4.67
113;267;243;102;262;230;104;225;162;126;266;0.377;30;236;134;277;248;;;238;107;3365;;83;4.15;34;4.61
114;266;235;115;259;231;103;228;164;126;268;0.3771;31;236;134;279;248;;;239;199;3362;;83;4.17;34;4.55
127;267;235;102;258;231;114;227;163;113;263;0.3897;30;237;135;276;247;;;238;198;3370;;83;91.36;34;4.64
113;266;234;116;258;230;114;226;163;126;264;0.377;30;238;135;276;251;;;239;198;3375;;83;4.15;33;4.66
114;268;235;116;259;229;114;225;162;112;264;0.3907;30;235;134;277;248;;;238;198;3364;;83;4.15;33;4.60
113;266;235;102;258;230;114;225;162;134;264;0.3779;35;234;133;277;248;;;238;104;3367;;83;91.30;33;4.56
126;266;235;115;259;230;113;226;162;126;264;0.3895;31;234;135;275;247;;;238;197;3349;;83;3.32;33;4.66
127;265;234;102;258;232;114;226;162;126;264;0.3775;30;233;121;276;251;;;238;197;3353;;83;3.34;34;4.71
141;266;237;116;258;230;103;225;162;126;265;0.378;31;234;121;275;248;;;238;103;3342;;83;3.37;33;4.58
126;267;235;115;259;230;103;226;162;126;264;0.3909;30;234;121;275;248;;;237;194;3348;;83;91.33;34;4.62
127;267;235;116;259;231;104;226;161;113;263;0.3777;30;233;135;276;248;;;238;107;3367;;83;4.07;34;4.60
113;264;234;115;260;230;104;226;161;127;263;0.4157;30;234;134;276;250;;;237;196;3360;;83;4.12;34;4.79
141;267;235;102;261;229;114;227;162;127;266;0.3774;35;234;135;275;248;;;238;111;3364;;83;91.26;33;4.56
113;267;235;102;258;230;114;226;162;112;264;0.3901;30;233;133;275;249;;;238;199;3362;;83;4.12;34;4.64
114;268;234;115;259;230;113;230;164;113;263;0.3777;30;234;159;274;247;;;237;99;3379;;83;4.11;34;4.62
128;267;235;116;260;230;112;225;162;126;265;0.3771;30;234;123;302;250;;;238;194;3357;;83;91.19;33;4.71
144;266;234;116;261;231;113;226;163;126;266;0.39;30;235;121;281;248;;;239;197;3341;;83;3.92;33;4.56
113;269;236;117;262;229;127;226;164;117;266;0.3772;30;233;136;276;249;;;238;103;3360;;83;4.01;34;4.60
126;267;236;128;259;230;113;226;162;127;265;0.3901;30;234;140;276;249;;;237;197;3348;;83;90.89;33;4.65
113;267;252;115;261;231;116;226;162;126;268;0.3776;35;233;122;278;250;;;238;100;3353;;83;4.20;33;4.59
138;267;236;102;261;230;108;238;162;120;266;0.3781;30;234;122;278;247;;;238;99;3353;;83;4.11;34;4.58
113;268;236;102;259;230;113;226;162;126;289;0.3916;31;242;122;277;249;;;243;207;3364;;83;3.59;34;4.58
127;269;237;102;259;230;114;226;162;128;268;0.3772;31;240;122;279;247;;;243;193;3362;;83;91.24;33;4.70
128;266;236;115;258;230;114;225;162;126;266;0.3899;31;237;135;278;251;;;238;110;3364;;83;4.13;33;4.60
140;266;238;102;259;230;102;224;162;126;267;0.3773;30;239;122;277;250;;;238;194;3368;;83;3.87;34;4.62
113;267;239;116;258;230;113;226;162;114;266;0.3901;30;246;156;278;246;;;239;197;3357;;83;91.18;33;4.55
127;265;237;115;259;230;102;226;162;113;266;0.3776;34;244;135;280;247;;;239;202;3368;;83;3.90;34;4.70
127;266;237;102;261;231;102;226;161;127;266;0.3776;31;239;134;282;247;;;238;198;3376;;83;4.00;34;4.56
113;267;238;102;261;233;114;226;162;125;266;0.3901;30;238;136;280;273;;;237;106;3361;;83;91.04;34;4.63
114;267;238;101;259;231;104;227;176;126;265;0.3925;30;235;120;275;247;;;238;196;3374;;83;4.24;34;4.55
127;265;239;102;259;230;114;226;163;112;265;0.3903;31;234;150;277;247;;;238;109;3352;;83;4.18;33;4.67
113;266;237;115;262;230;103;225;163;126;265;0.3782;30;235;134;276;249;;;238;197;3369;;83;90.94;34;4.60
127;266;237;102;261;230;103;226;164;112;264;0.3901;31;233;124;276;250;;;238;198;3367;;83;4.09;33;4.66
127;266;236;103;259;252;103;227;162;125;265;0.3951;34;235;150;276;246;;;238;197;3369;;83;4.12;34;4.59
127;266;238;116;258;237;114;226;163;126;265;0.3772;31;235;135;276;246;;;238;98;3359;;83;91.13;34;4.62
126;266;238;115;261;232;113;227;162;127;265;0.3993;30;234;134;276;248;;;238;111;3344;;83;4.16;34;4.64
114;267;236;114;259;230;104;226;162;126;266;0.3777;31;233;121;276;247;;;238;198;3347;;83;4.14;34;4.55
139;265;237;116;260;231;103;226;162;126;264;0.3896;30;260;122;276;246;;;238;196;3350;;83;91.07;34;4.70
126;266;240;101;259;230;114;226;164;126;266;0.3768;31;236;122;277;246;;;238;201;3355;;83;3.43;34;4.56
127;267;237;115;263;229;113;225;162;114;266;0.3777;31;237;135;276;247;;;238;198;3358;;83;3.38;34;4.63
127;266;235;105;261;231;114;226;162;126;265;0.3773;34;235;122;275;246;;;237;198;3346;;83;3.41;33;4.55
127;265;236;102;259;230;113;225;162;127;266;0.3778;31;237;135;277;246;;;238;199;3347;;83;91.07;34;4.65
126;267;236;115;260;232;113;228;161;125;266;0.3905;30;238;121;276;246;;;240;109;3342;;83;4.27;34;4.63
127;265;237;119;261;230;105;226;161;113;267;0.3775;31;237;121;275;247;;;239;191;3337;;83;4.16;33;4.58
126;265;237;115;260;231;103;225;162;127;266;0.3904;30;238;135;282;248;;;236;109;3349;;83;91.38;34;4.62
127;266;236;102;259;232;103;226;162;112;267;0.3776;30;236;122;281;246;;;237;98;3343;;83;4.15;34;4.61
127;265;236;103;261;232;114;226;162;113;265;0.377;30;236;123;277;247;;;239;198;3342;;83;4.14;33;4.67
113;267;237;115;263;232;105;226;162;126;266;0.3903;35;236;122;276;246;;;237;197;3346;;83;91.52;34;4.56
128;265;237;115;260;232;113;228;162;113;265;0.3778;30;236;125;300;247;;;238;197;3356;;83;4.15;34;4.65
128;266;236;102;260;233;115;226;161;126;265;0.3945;30;236;135;278;247;;;238;110;3347;;83;4.17;33;4.59
128;266;235;120;261;233;114;226;163;114;267;0.3776;31;236;122;276;247;;;238;99;3339;;83;91.42;33;4.58
127;267;237;102;263;231;103;226;164;140;265;0.3898;31;236;122;277;246;;;238;199;3351;;83;4.09;33;4.64
127;267;236;115;274;231;104;227;163;126;265;0.3778;30;236;151;276;247;;;237;103;3352;;83;4.10;33;4.61
128;266;236;115;263;233;113;225;162;126;265;0.3783;31;235;135;275;246;;;240;188;3369;;83;91.48;33;4.65
120;267;235;102;262;234;104;226;163;126;267;0.3897;34;236;134;275;246;;;239;110;3339;;83;4.12;33;4.57
113;269;236;140;262;232;103;226;162;120;266;0.3775;30;241;121;276;245;;;238;198;3354;;83;4.09;34;4.62
129;267;234;115;258;231;115;226;162;112;266;0.3992;31;239;135;275;247;;;238;100;3350;;83;91.28;34;4.55
113;268;235;102;259;231;114;225;163;126;266;0.377;30;235;135;277;245;;;237;199;3359;;83;3.91;34;4.67
127;270;235;102;259;231;103;225;162;126;268;0.3769;31;235;134;275;246;;;238;197;3346;;83;3.92;34;4.56
128;267;236;115;258;229;113;225;161;126;266;0.3858;30;234;122;276;247;;;238;198;3341;;83;3.98;34;4.61
113;268;234;102;258;230;105;226;164;126;266;0.3775;30;235;134;276;247;;;238;110;3344;;83;91.30;34;4.60
113;272;235;102;258;229;113;224;162;112;266;0.3903;35;234;134;274;246;;;238;190;3344;;83;3.89;34;4.80
114;270;235;116;263;230;114;224;162;112;293;0.3774;31;238;135;275;246;;;238;197;3356;;83;3.93;34;4.58
127;267;236;104;265;231;114;225;162;111;270;0.3957;30;235;121;274;246;;;238;101;3348;;83;91.07;33;4.59
113;268;235;115;259;230;104;225;163;113;267;0.3782;30;235;135;275;249;;;238;202;3350;;83;4.29;34;4.70
128;267;253;115;258;229;115;226;161;113;268;0.3776;30;233;135;274;246;;;238;103;3347;;83;4.20;34;4.57
113;271;235;115;262;230;115;232;161;126;266;0.3902;31;234;135;276;246;;;238;198;3348;;83;90.62;34;4.61
127;267;236;116;258;231;110;226;162;112;266;0.3776;30;233;135;275;246;;;238;199;3346;;83;3.88;34;4.56
128;267;238;115;259;229;103;226;163;127;266;0.4017;34;234;134;274;248;;;238;103;3349;;83;3.93;34;4.72
127;267;237;102;258;231;114;227;163;126;266;0.3774;31;233;135;275;246;;;238;197;3356;;83;91.27;34;4.57
127;267;236;115;263;230;102;237;178;127;265;0.4001;30;235;135;274;246;;;238;109;3343;;83;3.39;33;4.64
127;267;236;116;259;231;113;225;163;126;265;0.3802;30;236;135;274;246;;;237;198;3346;;83;3.35;34;4.61
127;266;238;102;262;234;103;225;163;113;266;0.3804;31;233;122;274;249;;;236;198;3343;;83;3.34;34;4.61
128;268;240;103;260;230;114;224;163;126;266;0.3935;30;235;121;275;274;;;236;199;3347;;83;90.87;33;4.61
127;267;234;116;259;254;114;229;162;112;265;0.3772;30;233;161;274;248;;;236;198;3358;;83;3.34;34;4.61
127;267;234;117;258;234;113;225;163;113;265;0.3985;35;234;134;275;249;;;237;198;3357;;83;3.36;34;4.57
115;267;236;102;260;231;103;225;164;127;268;0.3794;30;235;134;273;249;;;237;109;3344;;83;3.43;34;4.66
114;267;235;105;260;232;103;226;162;113;268;0.3795;31;234;120;275;249;;;236;99;3352;;83;91.58;34;4.64
127;267;234;116;262;229;103;228;162;112;263;0.3796;31;234;136;274;248;;;236;199;3344;;83;4.14;34;4.59
127;267;234;116;259;230;113;227;163;127;264;0.3802;30;233;134;274;247;;;236;191;3359;;83;4.07;33;4.65
140;266;234;116;260;231;103;228;161;127;265;0.394;30;234;122;275;248;;;237;108;3353;;83;90.38;34;4.58
127;266;236;117;264;231;104;231;163;128;265;0.3775;31;234;121;301;248;;;237;200;3351;;83;6.00;34;4.64
113;266;234;117;261;230;114;230;163;127;264;0.3989;34;235;134;276;248;;;238;197;3350;;83;4.10;34;4.56
127;266;235;102;258;231;104;231;163;126;266;0.3805;30;233;134;278;249;;;236;197;3348;;83;91.34;34;4.67
126;272;235;102;260;232;115;227;165;127;265;0.3929;30;262;121;277;248;;;236;198;3352;;83;4.12;34;4.58
114;268;236;102;261;232;115;225;168;113;264;0.3805;31;236;135;276;248;;;236;199;3352;;83;4.17;34;4.60
127;266;234;117;261;231;114;227;166;127;263;0.3796;30;237;122;275;247;;;236;103;3342;;83;91.57;34;4.57
115;266;235;115;281;232;104;226;164;112;264;0.394;30;236;136;274;248;;;237;199;3351;;83;4.12;34;4.63
113;266;235;103;263;234;114;226;163;126;263;0.3776;30;236;135;276;250;;;236;197;3339;;83;4.10;33;4.61
114;267;235;115;264;233;114;226;162;127;263;0.399;34;237;135;275;250;;;236;105;3352;;83;91.17;34;4.60
127;266;235;116;259;233;103;226;163;113;264;0.38;31;236;135;275;247;;;237;195;3345;;83;3.91;33;4.70
114;271;235;115;259;232;104;227;163;140;264;0.3922;30;236;121;274;247;;;236;111;3356;;83;3.92;34;4.62
125;268;234;116;258;233;114;226;163;112;266;0.3799;30;236;135;276;249;;;236;99;3341;;83;91.28;33;4.61
114;266;235;115;262;235;105;226;163;113;264;0.3775;30;235;135;276;248;;;236;195;3353;;83;3.40;34;4.56
113;270;235;103;258;230;113;225;164;113;265;0.3995;30;237;122;275;247;;;236;195;3349;;83;3.26;34;4.61
115;265;234;117;258;231;103;226;165;126;267;0.3798;30;235;136;277;248;;;236;110;3347;;83;3.26;34;4.64
113;267;235;102;258;231;115;226;163;112;266;0.3922;35;237;122;274;249;;;237;100;3349;;83;90.20;34;4.61
127;266;235;116;264;231;104;227;163;126;265;0.3912;31;236;136;275;249;;;238;197;3350;;83;4.16;34;4.61
127;265;236;115;261;230;113;227;162;126;266;0.3799;30;235;136;274;249;;;237;98;3350;;83;4.28;34;4.57
128;266;236;102;259;229;104;226;163;126;265;0.3931;30;236;148;280;250;;;236;199;3348;;83;91.46;34;4.70
113;267;234;115;260;230;114;225;163;112;266;0.3776;31;236;121;277;247;;;237;196;3339;;83;4.07;34;4.57
127;265;234;115;261;230;113;226;163;127;266;0.3987;31;237;122;274;249;;;236;110;3343;;83;4.04;34;4.62
127;267;235;115;259;230;115;227;162;126;264;0.3796;30;235;136;275;246;;;237;98;3348;;83;91.03;34;4.56
113;267;235;116;258;230;103;229;163;138;292;0.4036;34;236;135;275;248;;;237;199;3347;;83;3.32;34;4.67
113;267;236;116;260;230;121;226;163;112;266;0.3773;30;236;121;274;246;;;236;197;3350;;83;3.40;34;4.56
113;268;236;102;263;230;102;227;162;127;265;0.377;31;235;135;274;248;;;236;196;3341;;83;3.40;34;4.58
128;267;236;115;264;230;104;226;163;126;266;0.4242;30;235;122;274;246;;;236;97;3358;;83;90.80;34;4.58
113;268;236;116;262;230;103;226;161;126;265;0.3799;30;236;136;274;246;;;236;208;3358;;83;3.36;33;4.64
114;269;235;102;263;230;114;226;161;111;265;0.3926;31;235;137;275;246;;;236;101;3341;;83;3.40;34;4.61
127;268;239;117;261;230;114;226;161;142;266;0.3799;30;236;122;275;248;;;236;198;3347;;83;3.46;34;4.58
113;267;243;116;259;230;114;226;162;126;267;0.4061;35;237;136;276;246;;;236;198;3356;;83;90.84;34;4.75
113;270;257;119;258;231;114;226;175;112;265;0.3803;30;235;122;275;248;;;236;110;3354;;83;3.42;34;4.63
114;268;235;115;261;230;103;226;164;126;266;0.3776;31;236;124;275;247;;;236;194;3341;;83;3.42;34;4.61
113;265;236;103;262;230;115;226;163;132;266;0.3991;30;235;121;274;248;;;236;103;3354;;83;91.38;34;4.56
113;265;236;129;260;230;119;226;163;141;266;0.3799;30;237;134;301;248;;;236;199;3356;;83;3.38;34;4.66
128;266;238;104;259;251;113;225;162;125;267;0.3923;31;235;121;278;248;;;237;193;3354;;83;3.33;34;4.58
126;266;237;116;262;231;103;225;162;113;268;0.3798;30;237;135;278;248;;;236;110;3352;;83;3.35;34;4.61
127;266;239;117;262;229;102;225;161;113;266;0.3835;34;235;136;282;250;;;237;100;3350;;83;90.84;34;4.58
126;266;235;104;259;229;115;226;163;113;266;0.3933;30;236;134;280;274;;;236;195;3350;;83;3.54;34;4.70
127;266;237;115;259;231;114;225;164;117;266;0.3777;30;235;121;277;252;;;237;102;3347;;83;3.54;34;4.74
126;265;236;115;259;230;115;237;162;112;265;0.3989;30;236;121;278;249;;;238;189;3353;;83;3.48;34;4.57
113;266;237;114;260;229;103;228;162;112;265;0.38;31;236;148;280;249;;;237;202;3337;;83;90.54;34;4.61
127;266;235;116;284;230;114;226;162;130;266;0.3931;31;235;135;277;247;;;236;201;3343;;83;3.42;34;4.62
127;266;236;116;260;230;114;229;163;126;265;0.3891;29;236;134;277;248;;;236;103;3345;;83;3.39;34;4.65
127;266;237;115;262;230;114;228;162;112;265;0.378;35;235;121;281;248;;;236;197;3357;;83;90.64;34;4.59
142;266;237;116;259;230;114;228;163;138;267;0.39;30;237;135;279;249;;;236;200;3377;;83;3.42;34;4.63
113;267;235;101;260;229;114;227;163;127;266;0.3776;30;236;122;277;248;;;236;106;3386;;83;3.38;34;4.62
127;266;235;102;259;231;103;228;162;126;266;0.3983;31;240;134;278;247;;;237;200;3359;;83;3.41;34;4.62
126;269;235;102;262;231;114;228;162;111;265;0.3798;31;237;135;278;248;;;236;198;3368;;83;90.62;34;4.59
127;265;236;101;259;230;104;226;162;126;266;0.3924;30;235;135;276;249;;;236;104;3371;;83;3.50;34;4.60
113;270;234;102;258;230;115;227;162;126;266;0.4051;31;235;135;277;247;;;237;198;3369;;84;3.38;34;4.65
