adopt-imaging-parallel;adopt-imaging-single;adopt-pure;amazoncorretto-imaging-parallel;amazoncorretto-imaging-single;amazoncorretto-pure;graaljdk-imaging-parallel;graaljdk-imaging-single;graaljdk-pure;openjdk-imaging-parallel;openjdk-imaging-single;openjdk-opencv;openjdk-openimaj;openjdk-pure;zulu-imaging-parallel;zulu-imaging-single;zulu-pure;python-pure-simple;python-with-itertools;python-pure-simple-with-numba;python-pure-simple-with-numba-parallel;python-itertools-with-numba;python-with-numpy;python-with-numpy-with-numba;python-with-numpy-with-numba-parallel;python-with-numpy-and-scipy;python-with-opencv
113;266;236;116;259;230;113;225;179;125;266;0.3791;30;235;137;277;248;14488;13133;238;197;3346;8644;83;4.13;34;4.63
128;266;254;102;260;230;103;226;164;126;268;0.3911;31;236;136;275;248;14397;13150;238;199;3349;8649;83;92.73;34;4.57
113;267;238;116;264;229;110;226;163;126;267;0.3785;30;234;123;275;251;14342;13193;239;106;3342;8652;83;4.18;34;4.62
127;268;235;105;259;237;116;225;164;113;266;0.3908;31;235;142;277;247;14496;13196;238;197;3347;8642;84;4.13;34;4.62
126;267;234;105;258;253;113;227;163;126;267;0.3783;34;234;135;276;246;14557;13195;238;198;3348;8590;83;92.26;34;4.63
126;267;235;116;257;233;113;225;164;130;266;0.3913;31;237;122;274;247;14793;13182;238;106;3381;8589;83;3.98;34;4.63
127;268;235;116;260;232;114;226;165;120;266;0.3752;30;235;122;275;246;14678;13134;238;197;3345;8592;84;3.89;34;4.58
127;270;235;115;259;232;105;225;164;132;266;0.3876;31;234;124;274;247;14616;13131;238;196;3345;8662;83;91.41;34;4.66
141;265;234;102;258;232;104;225;164;133;267;0.3759;30;234;123;277;247;14581;13148;239;198;3347;8652;83;4.00;34;4.56
113;266;235;116;258;233;103;225;163;133;270;0.396;31;234;122;276;247;14434;13169;238;111;3343;8609;83;3.87;34;4.63
113;267;235;101;261;234;113;225;164;133;265;0.3789;30;234;122;274;247;14580;13240;238;193;3365;8596;83;90.88;34;4.58
127;266;234;101;262;232;114;224;163;134;265;0.3783;35;234;136;308;247;14485;13150;238;105;3366;8595;83;4.07;34;4.70
113;265;235;115;260;232;114;224;164;133;265;0.3914;31;234;122;278;246;14502;13127;238;199;3384;8597;83;4.08;34;4.57
